exchange_timestamp,mid_price,ask_price_1,ask_qty_1,bid_price_1,bid_qty_1,ask_price_2,ask_qty_2,bid_price_2,bid_qty_2,ask_price_3,ask_qty_3,bid_price_3,bid_qty_3,ask_price_4,ask_qty_4,bid_price_4,bid_qty_4,ask_price_5,ask_qty_5,bid_price_5,bid_qty_5,ask_price_6,ask_qty_6,bid_price_6,bid_qty_6,ask_price_7,ask_qty_7,bid_price_7,bid_qty_7,ask_price_8,ask_qty_8,bid_price_8,bid_qty_8,ask_price_9,ask_qty_9,bid_price_9,bid_qty_9,ask_price_10,ask_qty_10,bid_price_10,bid_qty_10
1784625636750000000,0.073485,0.07349,757876,0.07348,582599,0.07351,1428266,0.07346,1190541,0.07354,741112,0.07329,865958,0.07355,1155737,0.07311,2236791,0.07356,798708,0.07294,342689,0.0736,857219,0.07279,265069,0.07364,912753,0.07273,1657457,0.07367,737125,0.0724,3249584,0.07395,1420355,0.07239,305009,0.07418,1053249,0.07216,4652900
1784625637010000000,0.073485,0.07349,721300,0.07348,706766,0.0735,1683880,0.07346,1190541,0.07351,1433266,0.07329,865958,0.07354,741112,0.07311,2236791,0.07355,1155737,0.07294,342689,0.07356,798708,0.07279,305069,0.0736,857219,0.07273,1657457,0.07364,912753,0.0724,3249584,0.07367,737125,0.07239,305009,0.07395,1420355,0.07216,4652900
1784625637136000000,0.073485,0.07349,721300,0.07348,706766,0.0735,1683880,0.07346,1190541,0.07351,1433266,0.07329,865958,0.07352,937299,0.07322,682584,0.07353,1209980,0.07315,529315,0.07354,741112,0.07311,2236791,0.07355,1155737,0.07294,342689,0.07356,798708,0.07287,2131839,0.0736,857219,0.07279,305069,0.07364,912753,0.07273,1657457
1784625637266000000,0.073485,0.07349,721021,0.07348,706766,0.0735,1683880,0.07346,1190541,0.07351,1433266,0.07345,1800402,0.07352,937299,0.07344,1915967,0.07353,1209980,0.07343,729862,0.07354,741112,0.07329,865958,0.07355,1155737,0.07322,682584,0.07356,798708,0.07315,529315,0.0736,857219,0.07311,2236791,0.07364,912753,0.07294,342689
1784625637597000000,0.073485,0.07349,722164,0.07348,720192,0.0735,1683880,0.07346,1190541,0.07351,1433266,0.07345,1807933,0.07352,937299,0.07344,1921413,0.07353,1209980,0.07343,729862,0.07354,741112,0.07336,858979,0.07355,1155737,0.07329,865958,0.07356,798708,0.07322,682584,0.0736,857219,0.07315,529315,0.07364,912753,0.07314,735444
1784625637859000000,0.073485,0.07349,722163,0.07348,721073,0.0735,1680339,0.07346,1190541,0.07351,1433266,0.07345,1807933,0.07352,937299,0.07344,1921413,0.07353,1209980,0.07343,729862,0.07354,741112,0.07336,858979,0.07355,1155737,0.07329,865958,0.07356,798708,0.07322,682584,0.0736,857219,0.07315,529315,0.07364,912753,0.07314,735444
1784625638484000000,0.073485,0.07349,720044,0.07348,721813,0.0735,1680339,0.07347,821008,0.07351,1433671,0.07346,1190541,0.07352,937299,0.07345,1807933,0.07353,1209980,0.07344,1921413,0.07354,741112,0.07343,729862,0.07355,1155737,0.07336,858979,0.07356,798708,0.07329,865958,0.0736,857219,0.07322,682584,0.07364,912753,0.07315,529315
1784625638942000000,0.073485,0.07349,719784,0.07348,728841,0.0735,1680339,0.07347,821008,0.07351,1433671,0.07346,1190541,0.07352,940839,0.07345,1807933,0.07353,1209980,0.07344,1921413,0.07354,741112,0.07343,729862,0.07355,1155737,0.07336,858979,0.07356,798708,0.07329,865958,0.07357,819971,0.07322,682584,0.0736,857219,0.07315,529315
1784625639050000000,0.073485,0.07349,719784,0.07348,728910,0.0735,1681699,0.07347,821008,0.07351,1433671,0.07346,1190541,0.07352,939479,0.07345,1807933,0.07353,1209980,0.07344,1921413,0.07354,741112,0.07343,729862,0.07355,1155737,0.07336,858979,0.07356,798708,0.07329,865958,0.07357,819971,0.07322,682584,0.0736,857219,0.07315,529315
1784625639407000000,0.073485,0.07349,731911,0.07348,728979,0.0735,1681699,0.07347,821008,0.07351,1433671,0.07346,1190541,0.07352,939479,0.07345,1807933,0.07353,1209980,0.07344,1921413,0.07354,741112,0.07343,729862,0.07355,1155737,0.07336,858979,0.07356,798708,0.07329,865958,0.07357,819971,0.07322,682584,0.0736,857219,0.07315,529315
